field,question,model_answer,keywords,difficulty,student_answer,score,label
DBMS,"In your own words, what is a foreign key?",A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Medium,A foreign key is a column which creates a link between two tables by referencing the primary key of another table.,91.0,Excellent
Data Structures,what is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Medium,asdkj random text here nothing useful,19.0,Poor
Data Structures,"In your own words, what is recursion?",Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Easy,asdkj random text here nothing useful,12.0,Poor
DBMS,Explain: What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,A used two or on a related column join,61.0,Average
Computer Networks,what is dns?,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Hard,"DNS, or Domain System, human-readable domain names into IP addresses computers use to identify each other.",76.0,Good
DBMS,EXPLAIN: WHAT IS THE DIFFERENCE BETWEEN DELETE AND TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Hard,"not very sure, but it sounds like a technical term.",20.0,Poor
Data Structures,Explain: What is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Hard,"to put it simply, queue a linear data structure that follows First First happens at rear deletion at front.",67.0,Good
Computer Networks,give a short note on: what is dns,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Easy,"basically speaking, dns, or name system, translates domain that use to other. dns",51.0,Average
Python,Explain: What is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Medium,"as far as I know, Not very sure, but it sounds like a technical term. It might relate to lazy.",39.0,Poor
DBMS,Explain: What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,"basically speaking, is to combine two tables based on column join",48.0,Average
Python,"In your own words, what is a list in Python?","A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Hard,"a mutable, ordered of can elements of data",61.0,Average
DBMS,Explain: What is a view in SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Easy,A view a virtual table based on the result of a query which does not data physically itself.,75.0,Good
DBMS,what is acid property in dbms?,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Medium,"ACID stands for Atomicity, Consistency, Isolation Durability are properties that guarantee reliable processing of database",70.0,Good
Computer Networks,Briefly explain what is a subnet mask?,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Easy,subnet is used an address into and portions which identifies the network.,52.0,Average
OOP,Briefly explain what is method overriding?,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Easy,"so like, Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.",100.0,Excellent
Data Structures,Briefly explain what is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Medium,A LIST LINEAR DATA STRUCTURE WHERE EACH ELEMENT THE ELEMENT OF CONTIGUOUS MEMORY. LINKED,54.0,Average
Computer Networks,GIVE A SHORT NOTE ON: WHAT IS A FIREWALL,A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on defined rules.,"firewall, security, filter, traffic",Easy,firewall is network device monitors and filters incoming and network traffic defined rules.,50.0,Average
Computer Networks,Briefly explain what is a MAC address?,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Easy,"um basically, A MAC address a hardware identifier assigned to a network interface for use at the data link layer.",73.0,Good
DBMS,What is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"honestly, removes rows one at a time rolled TRUNCATE removes all rows at rolled back. delete",61.0,Average
Data Structures,explain: what is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,"BASICALLY SPEAKING, A SEARCH TREE IS TREE WHERE THE LEFT SUBTREE CONTAINS NODES SMALLER THAN THE AND THE RIGHT SUBTREE CONTAINS NODES GREATER.",73.0,Good
Data Structures,Briefly explain what is a graph in data structures?,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Easy,I LIKE PIZZA AND FOOTBALL ON WEEKENDS.,14.0,Poor
Computer Networks,What is the difference between TCP and UDP?,"TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Medium,"um basically, It has something to do with data I think.",37.0,Poor
Computer Networks,"In your own words, what is the difference between TCP and UDP?","TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Easy,"WELL, TCP IS A CONNECTION-ORIENTED, RELIABLE PROTOCOL THAT GUARANTEES DELIVERY, UDP IS A CONNECTIONLESS PROTOCOL THAT IS FASTER DOES NOT GUARANTEE DELIVERY.",84.0,Good
OOP,BRIEFLY EXPLAIN WHAT IS AN INTERFACE IN OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,"in simple words, An a defines a of a without providing the interface",53.0,Average
Data Structures,Give a short note on: what is a graph in data structures,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Medium,"IN SIMPLE WORDS, GRAPH IS NON-LINEAR DATA CONSISTING OF CALLED VERTICES CONNECTED BY EDGES.",77.0,Good
Operating Systems,explain: what is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Hard,"basically speaking, i don't remember this concept clearly.",35.0,Poor
OOP,explain: what is encapsulation?,Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Easy,encapsulation is bundling of data and methods which on that data a single unit while direct access to some components.,89.0,Excellent
Data Structures,explain: what is the difference between bfs and dfs?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Easy,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,96.0,Excellent
Data Structures,Give a short note on: what is a binary search tree,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,"in simple words, tree a tree the nodes smaller the parent and the right nodes binary",49.0,Average
